"order_id","customer_id","sector_id","planned_delivery_duration","order_id-2","product_id","quantity","product_id-2","weight","segment_id","driver_id","segment_type","order_id-3","segment_start_time","segment_end_time"
1312,149,1,175,1312,30,1,30,818,0,4,"STOP",1312,"2024-02-09 14:58:42","2024-02-09 15:01:56"
1273,228,3,177,1273,87,1,87,982,2,4,"STOP",1273,"2024-02-24 09:26:31","2024-02-24 09:32:12"
1273,228,3,177,1273,95,3,95,1491,2,4,"STOP",1273,"2024-02-24 09:26:31","2024-02-24 09:32:12"
1273,228,3,177,1273,56,1,56,318,2,4,"STOP",1273,"2024-02-24 09:26:31","2024-02-24 09:32:12"
1273,228,3,177,1273,12,2,12,1447,2,4,"STOP",1273,"2024-02-24 09:26:31","2024-02-24 09:32:12"
1273,228,3,177,1273,37,3,37,1218,2,4,"STOP",1273,"2024-02-24 09:26:31","2024-02-24 09:32:12"
1036,283,3,177,1036,92,3,92,245,4,1,"STOP",1036,"2024-02-24 20:26:23","2024-02-24 20:26:23"
1036,283,3,177,1036,80,3,80,414,4,1,"STOP",1036,"2024-02-24 20:26:23","2024-02-24 20:26:23"
2178,234,3,177,2178,32,3,32,1754,7,2,"STOP",2178,"2024-02-23 09:39:03","2024-02-23 09:40:47"
2178,234,3,177,2178,90,1,90,1654,7,2,"STOP",2178,"2024-02-23 09:39:03","2024-02-23 09:40:47"
331,272,3,178,331,71,2,71,1378,10,4,"STOP",331,"2024-02-26 07:03:21","2024-02-26 07:06:16"
331,272,3,178,331,21,1,21,259,10,4,"STOP",331,"2024-02-26 07:03:21","2024-02-26 07:06:16"
2221,284,1,176,2221,67,3,67,628,12,1,"STOP",2221,"2024-02-16 04:37:40","2024-02-16 04:40:06"
2221,284,1,176,2221,25,3,25,1963,12,1,"STOP",2221,"2024-02-16 04:37:40","2024-02-16 04:40:06"
2221,284,1,176,2221,47,3,47,310,12,1,"STOP",2221,"2024-02-16 04:37:40","2024-02-16 04:40:06"
